CustomerID,CustomerName,Address,Country,City,State,Zip
DOLLISCO0001   ,Dollis Cove Resort                                               ,765 Kingway                    ,Canada               ,Charlottetown                  ,PEI                          ,C1A 1W3    
GETAWAYI0001   ,Getaway Inn                                                      ,234 E Cannon Ave.              ,USA                  ,Saginaw                        ,MI                           ,48605
HOMEFURN0001   ,Home Furnishings Limited                                         ,234 Heritage Ave.              ,USA                  ,Midland                        ,MI                           ,48640-9392 
JOHNSONK0001   ,"Johnson, Kimberly                                                ",5678 S. 42nd Ave.              ,USA                  ,Rockford                       ,IL                           ,61125-6149 
KELLYCON0001   ,Kelly Consulting                                                 ,123 Yeo                        ,Australia            ,Melbourne                      ,VIC                          ,3000
KENSINGT0001   ,Kensington Gardens Resort                                        ,12345 Redmond Rd               ,USA                  ,Milwaukee                      ,WI                           ,53204-9900 
HAMPTONV0001   ,Hampton Village Eatery                                           ,234 Hampton Village            ,USA                  ,Springfield                    ,IL                           ,62703-1252 
HEALTHYC0001   ,Healthy Concepts                                                 ,1234 Westown Road              ,USA                  ,West Des Moines                ,IA                           ,50625-4424 
LECLERC0001    ,LeClerc & Associates                                             ,4321 West Broadway             ,Canada               ,Montreal                       ,PQ                           ,H4Q 6J8    
LEISURET0001   ,Leisure & Travel Consultants                                     ,City 123                       ,Australia            ,Sydney                         ,NSW                          ,2000
LONDONBE0001   ,Londonberry Nursing Home                                         ,987 Portar Street              ,New Zealand          ,Auckland                       ,                             ,           
INTERNAT0001   ,International Mailing Corp.                                      ,8765 58th Street West          ,USA                  ,St. Louis                      ,MO                           ,63156-5902 
ISNINDUS0001   ,ISN Industries                                                   ,987 Union Circle               ,USA                  ,Lockport                       ,IL                           ,60441-2239 
MANCHEST0001   ,Manchester Suites                                                ,678 W Orange Ave               ,USA                  ,Lafayette                      ,IN                           ,47905-5855 
BLUEYOND0001   ,Blue Yonder Airlines                                             ,P.O. Box 1234                  ,USA                  ,Wichita                        ,KS                           ,67201
COHOWINE0001   ,Coho Wintery                                                     ,234 Hickman St.                ,USA                  ,Springfield                    ,IL                           ,62703
LASERMES0001   ,Laser Messenger Service                                          ,98765 Crossway Park Dr         ,USA                  ,Bloomington                    ,MN                           ,55304-9840 
LAWRENCE0001   ,Lawrence Telemarketing                                           ,12345 21st Ave S               ,USA                  ,Lawrence                       ,KS                           ,66208
MIDCITYH0001   ,Mid-City Hospital                                                ,9876 N. Pioneer Road           ,USA                  ,Gary                           ,IN                           ,46401-4211 
MIDLANDC0001   ,Midland Construction                                             ,5678 Fraser Ave N.             ,USA                  ,Mishawaka                      ,IN                           ,46544
MULTITEC0001   ,Multitech Office Components                                      ,1234 Sunlight Place            ,USA                  ,Iowa City                      ,IA                           ,52230-1233 
MAGNIFIC0001   ,Magnificent Office Images                                        ,987 45 Ave.                    ,Canada               ,Winnipeg                       ,MB                           ,R2S 3S7    
MAHLERST0001   ,Mahler State University                                          ,4321 McDaniels Rd              ,USA                  ,Minneapolis                    ,MN                           ,55404-4000 
NETWORKS0001   ,Network Solutions                                                ,PO Box 2345                    ,USA                  ,Lake Zurich                    ,IL                           ,60047-1115 
NORTHCOL0001   ,North College                                                    ,Business Office                ,USA                  ,Fort Wayne                     ,IN                           ,46802-3313 
NORTHERN0001   ,Northern State College                                           ,234 Lee Ridge Road             ,USA                  ,Chicago                        ,IL                           ,60604-2670 
MENDOTAU0001   ,Mendota University                                               ,8765 College Drive             ,USA                  ,Grand Rapids                   ,MI                           ,49548-3343 
METROPOL0001   ,Metropolitan Fiber Systems                                       ,5678 W. Jackson Ave            ,USA                  ,Milwaukee                      ,WI                           ,53202-5713 
NOVASCOT0001   ,Novia Scotia Tech. Institute                                     ,543 Abbot Ave.                 ,Canada               ,Halifax                        ,NS                           ,B5P 7D7    
NOVASYST0001   ,"Nova Systems, Inc.                                               ",123 W. Nichols Rd              ,USA                  ,St. Paul                       ,MN                           ,55104
OCTAGONM0001   ,Octagon Marketing Org.                                           ,1234 Redwood Trail             ,USA                  ,Indianapolis                   ,IN                           ,46206-1099 
HUMONGOU0001   ,Humongous Insurance                                              ,4567 145th St NW               ,USA                  ,Omaha                          ,NE                           ,68107-4509 
NATIONAL0001   ,National Shopping World                                          ,123 Apple Grove Square         ,USA                  ,Indianapolis                   ,IN                           ,46205-2393 
PLACEMAD0001   ,Place & MacDero Associates                                       ,9876 Willingdon                ,Canada               ,Calgary                        ,AB                           ,T2P 4B9    
PLACEONE0001   ,Place One Suites                                                 ,4567 East River Road           ,Canada               ,Vancouver                      ,BC                           ,V6C 3J9    
PLAZAONE0001   ,Plaza One                                                        ,2345 42 St. W                  ,USA                  ,Woodbury                       ,MN                           ,55119
NORTHERN0002   ,Northern Family Hospital                                         ,987 Royal Park Centre          ,Canada               ,St. John's                     ,NF                           ,A1C 1K4    
NORTHSTA0001   ,Northstar Mall                                                   ,5432 Principal Ave.            ,USA                  ,Mankato                        ,MN                           ,56001
RAINBOWR0001   ,Rainbow Research                                                 ,3456 N. Jupiter St             ,USA                  ,St Louis                       ,MO                           ,63156-3427 
REDSFOOD0001   ,Red's Food Market                                                ,8765 W. Cordoba Way            ,USA                  ,Kansas City                    ,MO                           ,64108-1862 
MARGIEST0001   ,Margie's Travel                                                  ,6789 82 Ave S.                 ,USA                  ,Minneapolis                    ,MN                           ,55402-1249 
OFFICEDE0001   ,Office Design Systems Ltd                                        ,Place 123 Suite 3              ,Canada               ,Winnipeg                       ,MB                           ,R3M 2G6    
PACIFICD0001   ,Pacific Digital                                                  ,76543 Commerical Street        ,USA                  ,Independence                   ,MO                           ,64501
RIVERSID0001   ,Riverside University                                             ,5678 Herman St.                ,Canada               ,Vancouver                      ,BC                           ,V6E 3J7    
ROSELLEN0001   ,Rosellen General Hospital                                        ,8765 Barclay St.               ,Canada               ,Regina                         ,SK                           ,S7K 5C7    
SINCLAIR0001   ,Sinclair State University                                        ,SSU Box 123                    ,USA                  ,Arlington Heights              ,IL                           ,60004-6122 
